PKABCODE,index_right,prop_name,prop_id,primary_commodity,projects,dev_stage,activ_status,commodities_list,state_province,latitude,longitude,mo_yr_source_d
8201,100,Obi Island,35393,Nickel,Projects,Feasibility,Under Litigation,Nickel,Maluku Utara,-1.57703,127.44717,2013-04-01
8201,648,OBI RKEF Smelter,89485,Nickel,Facilities,Operating,Active,Nickel,Maluku Utara,-1.54006,127.42517,2021-01-01
8201,613,Halmahera Persada Lygend Plant,85821,Nickel,Facilities,Operating,Active,"Cobalt,Nickel",Maluku,-1.53134,127.42333,2022-01-01
8201,124,Taliabu,37921,Iron Ore,Projects,Preproduction,Active,Iron Ore,Maluku Utara,-1.8525,124.4175,2016-01-01
8201,616,Megah Surya Pertiwi Smelter,85824,Nickel,Facilities,Operating,Active,Nickel,Maluku Utara,-1.53093,127.42326,2020-09-01
8201,594,Wanatiara Persada Smelter,85770,Nickel,Facilities,Operating,Active,Nickel,Maluku,-1.46052,127.43365,2022-01-01
8201,433,Obi,61589,Gold,Projects,Exploration,Inactive,"Gold,Zinc,Copper,Lead",Maluku Utara,-1.416,127.744,2011-09-01
8201,98,Kaputusan,34582,Copper,Projects,Exploration,Inactive,"Copper,Gold",Maluku Utara,-0.53083,127.39333,2008-12-01
8201,44,Toguraci,29643,Gold,Projects,Satellite,Active,"Gold,Silver",Maluku Utara,1.1408,127.67421,2016-04-01
8201,92,Gosowong,33375,Gold,Projects,Operating,Active,"Gold,Silver,Copper",Maluku Utara,1.14219,127.69994,2020-08-01
8201,482,Roko,64419,Gold,Projects,Grassroots,Inactive,Gold,Maluku Utara,1.88,127.78,2014-09-01
8201,445,Kapa Kapa,61897,Gold,Projects,Grassroots,Inactive,"Gold,Copper,Silver",Maluku Utara,2.092,127.908,2014-09-01
8202,670,Qingtian Smelter,89537,Nickel,Facilities,Preproduction,Active,Nickel,Maluku Utara,0.30329,127.78292,2021-07-01
8202,575,Youshan Smelter,83920,Ferronickel,Facilities,Operating,Active,"Ferronickel,Nickel",Maluku,0.3347,127.87494,2021-06-01
8202,646,Li Bai Plant,89483,Nickel,Facilities,Operating,Active,Nickel,Maluku Utara,0.47856,127.98204,2021-01-01
8202,665,Huayou Plant,89527,Nickel,Facilities,Preproduction,Active,"Nickel,Cobalt",Maluku Utara,0.47914,127.98308,2021-07-01
8202,583,Weidabe Industrial Park Smelter,85182,Nickel,Facilities,Construction Started,Active,Nickel,Maluku Utara,0.47924,127.98524,2019-12-01
8202,640,Infei Metal Smelter,89408,Nickel,Facilities,Operating,Active,Nickel,Maluku Utara,0.4793,127.98161,2022-06-01
8202,666,Langit Smelter,89529,Nickel,Facilities,Commissioning,Active,Nickel,Maluku Utara,0.4797,127.98402,2021-07-01
8202,673,Weda Bay Plant,89542,Nickel,Facilities,Feasibility Started,Active,Nickel,Maluku Utara,0.481,127.99682,2021-07-01
8202,66,Weda Bay,30273,Nickel,Projects,Operating,Active,"Nickel,Cobalt",Maluku Utara,0.50983,127.96233,2022-02-01
8202,163,Maba,39372,Nickel,Projects,Reserves Development,Active,Nickel,Maluku Utara,0.70133,128.26793,2016-02-01
8202,580,Waylukum,84437,Nickel,Projects,Target Outline,Active,Nickel,Maluku Utara,0.72208,128.17697,2020-01-01
8202,103,Subayin,35577,Nickel,Projects,Reserves Development,Inactive,Nickel,Maluku Utara,0.73472,127.56139,2010-02-01
8202,377,Sangaji,56327,Nickel,Projects,Prefeas/Scoping,Active,Nickel,Maluku Utara,0.75,128.155,2015-03-01
8202,376,Pakal Island,56326,Nickel,Projects,Satellite,Active,Nickel,Maluku Utara,0.781,128.331,2017-04-01
8202,365,Mornopo,54431,Nickel,Projects,Satellite,Active,Nickel,Maluku Utara,0.79164,128.17987,2015-03-01
8202,366,Gee Island,54642,Nickel,Projects,Operating,Active,Nickel,Maluku Utara,0.831,128.325,2017-02-01
8202,79,Buli,31090,Nickel,Projects,Satellite,Active,"Nickel,Iron Ore,Cobalt",Maluku Utara,0.843,128.27,2021-07-01
8202,672,East Halmahera Plant,89541,Nickel,Facilities,Preproduction,Active,Nickel,Maluku Utara,0.8444,128.24852,2021-07-01
8202,606,FeNi Haltim Smelter,85814,Nickel,Facilities,Commissioning,Active,Nickel,Maluku Utara,0.84528,128.24789,2022-01-01
8202,458,East Halmahera Smelter,62759,Ferronickel,Facilities,Construction Started,Active,Ferronickel,Maluku Utara,0.8484,128.24656,2022-03-01
8202,480,Saluta,64358,Manganese,Projects,Grassroots,Inactive,Manganese,Maluku Utara,1.30362,128.49591,2013-09-01
6101,46,Buduk,29679,Gold,Projects,Limited Production,,Gold,Kalimantan Barat,0.99907,109.22971,1998-03-01
6101,23,Sambas,27821,Gold,Projects,Closed,Inactive,Gold,Kalimantan Barat,1.76944,109.34056,1991-01-01
6102,1,Monterado Placer,26491,Gold,Projects,Closed,Inactive,Gold,Kalimantan Barat,0.76587,109.15874,1993-04-01
6103,551,Sebau,75777,Bauxite,Projects,Reserves Development,Active,Bauxite,Kalimantan Barat,0.45067,109.37466,2021-02-01
6103,555,PT Borneo Edo International,76819,Bauxite,Projects,Reserves Development,Active,Bauxite,Kalimantan Barat,0.4522,109.47239,2021-02-01
6103,420,Landak,60785,Bauxite,Projects,Grassroots,Inactive,Bauxite,Kalimantan Barat,0.483,109.637,2011-02-01
6103,552,Purasak,75778,Bauxite,Projects,Reserves Development,Active,Bauxite,Kalimantan Barat,0.66805,109.35685,2021-02-01
6103,40,Mandor,29536,Copper,Projects,Target Outline,Inactive,"Copper,Gold",Kalimantan Barat,0.70034,109.33918,1997-09-01
6104,57,Sungai Raya,29899,Gold,Projects,Reserves Development,Inactive,Gold,Kalimantan Barat,-0.25707,109.62917,1996-10-01
6104,452,Mempawah Refinery,62556,Alumina,Facilities,Construction Started,Active,Alumina,Kalimantan Barat,0.35514,108.95125,2019-06-01
6105,545,PT Alu Sentosa,70418,Bauxite,Projects,Operating,Care And Maintenance,Bauxite,Kalimantan Barat,-0.35457,110.21347,2018-04-01
6105,556,Meliau,76822,Bauxite,Projects,Reserves Development,Active,Bauxite,Kalimantan Barat,-0.19594,110.32952,2021-02-01
6105,367,Tayan,55265,Bauxite,Projects,Operating,Active,Bauxite,Kalimantan Barat,-0.09,110.14,2022-06-01
6105,453,Tayan Refinery,62639,Alumina,Facilities,Operating,Active,Alumina,Kalimantan Barat,-0.09,110.14,2021-01-01
6105,68,Mirih,30403,Gold,Projects,Exploration,Inactive,Gold,Kalimantan Barat,0.02335,111.01099,1998-09-01
6105,554,Balai Sebut,76530,Graphite,Projects,Prefeas/Scoping,Active,Graphite,Kalimantan Barat,0.47778,110.89875,2016-04-01
6105,543,Entikong,70369,Gold,Projects,Grassroots,Inactive,Gold,Kalimantan Barat,0.85,110.323,2014-06-01
6106,24,Riam Kusik,28343,Zinc,Projects,Reserves Development,Inactive,"Zinc,Lead,Silver",Kalimantan Barat,-2.07867,110.79412,1997-09-01
6106,421,Tayan South,60786,Bauxite,Projects,Grassroots,Inactive,Bauxite,Kalimantan Barat,-0.637,110.557,2011-02-01
6107,434,Remaja-Hitam,61796,U3O8,Projects,Closed,Inactive,U3O8,Kalimantan Barat,-0.52,112.13,2008-10-01
6107,485,Sintang,65189,Gold,Projects,Exploration,Active,"Gold,Silver,Copper,Zinc,Lead",Kalimantan Barat,-0.27,111.25,2015-10-01
6107,328,Yamabhumi Palaka,50527,Coal,Projects,Reserves Development,Inactive,Coal,Kalimantan Barat,0.05194,111.49916,2011-12-01
6107,214,Sintang,40485,Coal,Projects,Exploration,Inactive,Coal,Kalimantan Barat,0.07111,111.50583,2012-05-01
6107,14,Melawi River,27191,Gold,Projects,,Inactive,Gold,Kalimantan Barat,0.07139,111.89162,2000-01-01
